"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J9";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";1;"12VIN";;;
2;"J3";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";1;"PTC_Con";;;
3;"J5";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";1;"SSROUT2";;;
4;"D8";"LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"RXD";;;
5;"R9,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"16k";;;
6;"H1,H2,H5,H4";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole_Pad";;;
7;"R23,R10,R7,R24,R14,R17,R15,R20,R19,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"10k";;;
8;"U1";"TO-92_Inline_Wide";1;"TL431LP";;;
9;"U6";"ESP32-WROOM-32D";1;"ESP32-WROOM-32D";;;
10;"D3";"LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"POWER_LED";;;
11;"RA1,RB1,R6,R4,R2,R5,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"25k";;;
12;"J6";"USB_B_OST_USB-B1HSxx_Horizontal";1;"USB_B";;;
13;"R25,R22,R26,R27,R28,R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"1k";;;
14;"SW2";"SW_SPST_B3S-1000";1;"RST";;;
15;"Q3,Q4";"SOT-23_Handsoldering";2;"SS8050";;;
16;"C10,C11,C15,C14,C12";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"100nF";;;
17;"SW5,SW7,SW6,SW4,SW3";"SW_SPST_B3S-1000";5;"IO0";;;
18;"C3,C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"1nF";;;
19;"J13";"PinHeader_2x05_P2.54mm_Vertical";1;"JTAG10";;;
20;"J12";"PinSocket_1x07_P2.54mm_Vertical";1;"ST7789";;;
21;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.5k";;;
22;"J8,J7,J10";"PinHeader_1x10_P2.54mm_Vertical";3;"PINOUT";;;
23;"J1";"TerminalBlock_MetzConnect_Type055_RT01503HDWU_1x03_P5.00mm_Horizontal";1;"ACCON";;;
24;"D2";"LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"SSR1";;;
25;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"OLED 0.91";;;
26;"D7";"LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"TXD";;;
27;"Q2,Q1";"SOT-23_Handsoldering";2;"SS8550";;;
28;"J4";"BarrelJack_Horizontal";1;"12V";;;
29;"D4,D1";"D_SOD-123";2;"1N4001";;;
30;"D5";"LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"SSR2";;;
31;"R31,R32,R29,R30";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"22k";;;
32;"C19,C17,C16,C18,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"1uF";;;
33;"U7";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
34;"R12,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4K7";;;
35;"C8,C13,C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"22uF";;;
36;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
37;"C6";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.33uF";;;
38;"TH1";"TO-92-2_Horizontal2";1;"PT100";;;
39;"K1";"RELAY_G3MB202PDC12";1;"G3MB202PDC12";;;
40;"F1";"Fuseholder_Littelfuse_100_series_5x30mm";1;"Fuse";;;
41;"C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.1uF";;;
42;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TL074";;;
43;"U4";"TO-220F-3_Horizontal_TabDown";1;"L7805";;;
